filename,width,height,poi,xmin,ymin,xmax,ymax,gesture,intent
img1_jpg.rf.de149d64f40a797433ea8e7af9caf4a3.jpg,416,416,pedestrian,107,89,125,138,no_gesture,not_crossing
img1_jpg.rf.de149d64f40a797433ea8e7af9caf4a3.jpg,416,416,jay_walking,21,91,49,138,no_gesture,not_crossing
img1_jpg.rf.de149d64f40a797433ea8e7af9caf4a3.jpg,416,416,traffic_cop,105,33,323,327,gostraight,not_crossing
img10_jpg.rf.dab4a1468fa6cf6f5600f8f78a11fd54.jpg,416,416,school_children,40,14,373,401,no_gesture,not_crossing
img11_jpg.rf.396eb52e5d313ed335356b9da3ae82fc.jpg,416,416,jay_walking,114,49,252,406,no_gesture,crossing
img12_jpg.rf.fea88c260dbb23c48b2a3f9aed1cbe2c.jpg,416,416,jay_walking,31,109,94,353,no_gesture,crossing
img12_jpg.rf.fea88c260dbb23c48b2a3f9aed1cbe2c.jpg,416,416,pedestrian,99,121,153,324,no_gesture,crossing
img12_jpg.rf.fea88c260dbb23c48b2a3f9aed1cbe2c.jpg,416,416,jay_walking,207,102,279,351,no_gesture,crossing
img12_jpg.rf.fea88c260dbb23c48b2a3f9aed1cbe2c.jpg,416,416,pedestrian,280,75,304,152,no_gesture,crossing
img13_jpg.rf.6359cabe688749c2264fe51ab9a572b6.jpg,416,416,jay_walking,232,131,344,402,no_gesture,crossing
img13_jpg.rf.6359cabe688749c2264fe51ab9a572b6.jpg,416,416,pedestrian,347,148,409,296,no_gesture,crossing
img14_jpg.rf.b89ea5e7971ba6f75bda6e7390758ed0.jpg,416,416,pedestrian,159,41,268,375,no_gesture,not_crossing
img14_jpg.rf.b89ea5e7971ba6f75bda6e7390758ed0.jpg,416,416,pedestrian,114,33,137,123,no_gesture,not_crossing
img14_jpg.rf.b89ea5e7971ba6f75bda6e7390758ed0.jpg,416,416,pedestrian,75,23,97,79,no_gesture,not_crossing
img15_jpg.rf.3a4ad991ccbc9c57674f7a9563ea16ac.jpg,416,416,jay_walking,161,79,248,305,no_gesture,crossing
img16_jpg.rf.54a46b9faf093c05d1f9d3b36201ade6.jpg,416,416,jay_walking,119,107,231,380,no_gesture,crossing
img17_jpg.rf.b89a5348b593636a236f5d22a955ec52.jpg,416,416,jay_walking,13,94,77,344,no_gesture,crossing
img17_jpg.rf.b89a5348b593636a236f5d22a955ec52.jpg,416,416,jay_walking,82,125,125,296,no_gesture,crossing
img17_jpg.rf.b89a5348b593636a236f5d22a955ec52.jpg,416,416,pedestrian,182,118,249,326,no_gesture,crossing
img17_jpg.rf.b89a5348b593636a236f5d22a955ec52.jpg,416,416,pedestrian,263,131,318,318,no_gesture,crossing
img17_jpg.rf.b89a5348b593636a236f5d22a955ec52.jpg,416,416,pedestrian,341,139,403,321,no_gesture,crossing
img18_jpg.rf.15fdf617ee990da88f411bd1c502aeeb.jpg,416,416,construction_worker,41,27,159,415,no_gesture,not_crossing
img19_jpg.rf.340e66abf601cadf47b2a777e4da9ba4.jpg,416,416,construction_worker,117,111,306,400,no_gesture,not_crossing
img2_jpg.rf.ef5d982520326d35b22713776959c51a.jpg,416,416,traffic_cop,131,25,305,415,stopsb,not_crossing
img20_jpg.rf.79fe1113f9b26f2c844bff666ed57abb.jpg,416,416,traffic_cop,120,31,266,396,stoplr,not_crossing
img21_jpg.rf.d2fd0d8c15121a551c08dbe26a3e2fed.jpg,416,416,jay_walking,186,33,300,414,no_gesture,not_crossing
img21_jpg.rf.d2fd0d8c15121a551c08dbe26a3e2fed.jpg,416,416,pedestrian,6,64,68,269,no_gesture,not_crossing
img21_jpg.rf.d2fd0d8c15121a551c08dbe26a3e2fed.jpg,416,416,pedestrian,73,64,139,272,no_gesture,crossing
img21_jpg.rf.d2fd0d8c15121a551c08dbe26a3e2fed.jpg,416,416,pedestrian,390,78,414,189,no_gesture,crossing
img21_jpg.rf.d2fd0d8c15121a551c08dbe26a3e2fed.jpg,416,416,pedestrian,348,76,387,210,no_gesture,crossing
